Nominativ Singular Deutsch;Wortstamm;Gelernt ;Lektion;Sprechvokal;Deklination
der Sklave, der Diener;serv;0;1;;o-Deklination_m
die Herrin, die Dame ;domin;0;1;;a-Deklination
die Sklavin, die Dienerin;serv;0;1;;a-Deklination
der Herr;domin;0;1;;o-Deklination_m
das Pferd;equ;0;1;;o-Deklination_m
das Volk;popul;0;1;;o-Deklination_m
der Sieg;victori;0;1;;a-Deklination
der Arzt;medic;0;1;;o-Deklination_m
der Weg, die Strasze;vi;0;2;;a-Deklination
die Menge, die Menschenmenge;turb;0;2;;a-Deklination
das Gasthaus, der Laden;tabern;0;2;;a-Deklination
das Tor, die Tueuer;port;0;2;;a-Deklination
das Fenster;fenestr;0;2;;a-Deklination
das Geld, das Vermoeoegen;pecuni;0;2;;a-Deklination
der Freund;amic;0;2;;o-Deklination_m
das Maeaedchen;puell;0;3;;a-Deklination
das Unrecht, die Beleidigung;iniuri;0;3;;a-Deklination
die Schuld;culp;0;3;;a-Deklination
der Gefaeaehrte, der Verbueuendete;soci;0;3;;o-Deklination_m
die Meinung, der Satz, der Sinn;sententi;0;3;;a-Deklination
das Schwert;gladi;0;3;;o-Deklination_m
der Geist, der Mut, die Gesinnung;anim;0;3;;o-Deklination_m
die Strafe;poen;0;3;;a-Deklination
der Dank;grati;0;3;;a-Deklination
die Erinnerung, das Gedaeaechtnis, die Zeit;memori;0;4;;a-Deklination
die Goeoettin;de;0;4;;a-Deklination
die Freundin;amic;0;4;;a-Deklination
das Feld, der freie Platz;camp;0;4;;o-Deklination_m
der Zorn, die Wut;ir;0;4;;a-Deklination
die Flucht;fug;0;4;;a-Deklination
der Wald;silv;0;4;;a-Deklination
das Auge;ocul;0;4;;o-Deklination_m
das Leben;vit;0;5;;a-Deklination
das Geschenk;don;0;5;;o-Deklination_n
das Geschoeoepf;creatur;0;5;;a-Deklination
die Erde, das Land;terr;0;5;;a-Deklination
der Himmel ;cael;0;5;;o-Deklination_n
die Natur, das Wesen, die Beschaffenheit;natur;0;5;;a-Deklination
der Gott, die Gottheit;de;0;5;;o-Deklination_m
die List, die Taeaeuschung;dol;0;5;;o-Deklination_m
der Stolz, die UeUeberheblichkeit;superbi;0;5;;a-Deklination
die Flamme, das Feuer;flamm;0;5;;a-Deklination
das Opfer, das Heiligtum;sacr;0;5;;o-Deklination_n
der Befehl, die Herrschaft, das Reich;imperi;0;5;;o-Deklination_n
die Sprache;lingu;0;5;;a-Deklination
die Menge, der Vorrat;copi;0;5;;a-Deklination
das Wort, die AeAeuszerung;verb;0;5;;o-Deklination_n
die Arbeit, die Mueuehe;oper;0;5;;a-Deklination
der Buchstabe;litter;0;5;;a-Deklination
die Stadt, die Kleinstadt;oppid;0;5;;o-Deklination_n
die Beratung, der Beschluss, der Plan, der Rat;consili;0;5;;o-Deklination_n
