Latein;Deutsch;Hinweis;Verbform;Konjugation;gelernt;Lektion
ecce;Schau! Schau!;;;;false;1
esse;sein, sich befinden;;;;false;1
stare;stehen;;;;false;1
cogitare;denken, nachdenken, beabsichtigen;;;;false;1
clamare;laut rufen, schreien;;;;false;1
adesse;da sein, helfen;;;;false;1
venire;kommen;;;;false;1
ridere;lachen, auslachen;;;;false;1
debere;muessen, sollen, schulden;;;;false;1
dubitare;zuegern, zweifeln;;;;false;1
gaudere;sich freuen;;;;false;1
spectare;betrachten, anschauen, zuschauen;;;;false;1
audere;wagen;;;;false;1
orare;bitten, beten, anbeten;;;;false;1
videre;sehen;;;;false;1
